Symbol,Stock Price,Market Cap,Company Name,Analysts,PT Upside (%),Rev. Growth,Rev. Growth 5Y,Rev. Growth 3Y,Rev Gr. Next Y,Z-Score,ROA,ROA (5Y),ROIC,ROIC (5Y),Oper. Margin
CHX,29.335,5666760000,ChampionX Corporation,3,40.75%,-3.31%,26.29%,5.73%,7.41%,3.76,9.50%,0.26%,13.62%,3.75%,12.97%
GH,45,5336958225,"Guardant Health, Inc.",15,-5.53%,29.20%,30.29%,26.27%,16.41%,-0.08,-30.90%,-21.58%,-41.15%,-23.80%,-74.41%
W,44.3,5562912718,Wayfair Inc.,25,34.88%,-1.22%,6.59%,-5.71%,1.94%,1.60,-15.90%,-18.56%,-42.57%,-43.71%,-4.36%
LITE,80.34,5508320000,Lumentum Holdings Inc.,15,8.09%,-1.72%,-4.12%,-6.08%,29.69%,1.18,-13.00%,1.02%,-10.98%,2.23%,-27.02%
VLY,9.93,5747644140,Valley National Bancorp,13,4.04%,-16.48%,8.54%,7.11%,8.52%,,0.50%,0.96%,3.12%,5.36%,27.30%
INSP,187,5513609931,"Inspire Medical Systems, Inc.",11,22.36%,28.49%,57.80%,50.95%,18.76%,29.40,7.10%,-9.02%,4.59%,-9.67%,4.49%
GRFS,7.055,5633462547,"Grifols, S.A.",1,,8.71%,,54.27%,8.09%,0.91,0.30%,2.18%,2.51%,4.27%,10.38%
DY,189.74,5567053479,"Dycom Industries, Inc.",8,9.60%,10.37%,6.40%,13.57%,13.28%,4.66,8.10%,4.30%,10.26%,6.78%,7.21%
ARW,106.02,5659252944,"Arrow Electronics, Inc.",4,13.96%,-15.66%,-0.70%,-6.79%,8.80%,2.31,1.90%,4.64%,6.95%,12.08%,2.75%
FNB,15.355,5670671220,F.N.B. Corporation,5,21.13%,-4.61%,5.15%,7.04%,10.20%,,0.80%,1.00%,3.93%,4.65%,34.36%
QXO,13.455,5515022316,"QXO, Inc.",,,8.86%,8.38%,10.15%,13174.40%,167.59,1.10%,6.98%,-0.55%,0.57%,-65.94%
ALTM,5.795,6227898279,Arcadium Lithium plc,14,-10.44%,,,,16.10%,,,,,,
SWX,76.71,5537178766,"Southwest Gas Holdings, Inc.",4,-3.53%,-5.06%,11.24%,14.07%,2.06%,1.04,1.50%,1.46%,4.45%,3.70%,8.46%
QTWO,91.035,5532127590,"Q2 Holdings, Inc.",16,4.28%,10.92%,17.96%,12.39%,11.35%,4.25,-4.60%,-8.20%,-5.66%,-8.04%,-8.69%
CALM,112.01,5578966910,"Cal-Maine Foods, Inc.",3,-40.97%,15.57%,20.44%,29.64%,-29.31%,11.64,27.40%,13.48%,27.80%,13.04%,24.20%
KNF,96.96,5603525541,Knife River Corporation,5,6.83%,6.16%,,9.87%,6.19%,4.43,7.50%,,10.70%,,10.71%
STVN,20.11,5500517246,Stevanato Group S.p.A.,6,36.38%,3.53%,,10.18%,7.16%,5.36,5.30%,8.24%,6.97%,10.65%,13.46%
CRUS,103.15,5501028599,"Cirrus Logic, Inc.",6,29.22%,2.99%,8.21%,5.16%,3.90%,10.20,13.20%,11.90%,13.29%,13.17%,20.44%
RRR,52.125,3132531996,"Red Rock Resorts, Inc.",13,11.89%,12.99%,0.85%,7.39%,0.72%,1.39,4.10%,2.88%,13.22%,11.08%,31.39%
EPRT,31.04,5470358400,"Essential Properties Realty Trust, Inc.",16,8.81%,27.22%,27.12%,27.50%,19.44%,,3.80%,3.06%,4.76%,3.72%,60.14%
FRSH,18.015,5408981084,Freshworks Inc.,14,18.22%,20.45%,,26.54%,13.82%,4.95,-6.70%,,-13.34%,-9.78%,-22.58%
MARA,16.05,5521745140,"MARA Holdings, Inc.",11,59.44%,131.04%,246.23%,86.15%,57.86%,4.78,8.10%,-21.44%,8.29%,-27.51%,42.92%
WHR,98.73,5487502944,Whirlpool Corporation,5,14.19%,-8.97%,-3.23%,-7.19%,0.41%,2.02,3.20%,2.96%,12.25%,8.08%,3.94%
CLBT,24.87,5127140480,Cellebrite DI Ltd.,9,-16.11%,25.82%,,17.82%,17.22%,10.23,-56.40%,,,13.09%,14.59%
ALKS,33.49,5171223880,Alkermes plc,12,8.45%,-5.37%,6.98%,10.05%,-6.76%,4.66,15.50%,-2.18%,30.59%,4.37%,29.00%
ACIW,51.63,5430627975,"ACI Worldwide, Inc.",6,-4.18%,13.31%,6.54%,7.82%,6.95%,3.60,6.90%,3.34%,11.78%,5.82%,22.14%
OPCH,31.72,5374315980,"Option Care Health, Inc.",7,1.29%,13.58%,17.91%,12.93%,6.49%,3.77,6.30%,2.66%,8.95%,6.15%,6.69%
CLF,10.925,5379050160,Cleveland-Cliffs Inc.,12,51.30%,-8.92%,56.14%,4.80%,10.34%,1.79,-2.70%,6.62%,-3.33%,12.80%,-1.77%
ANF,106.96,5371241001,Abercrombie & Fitch Co.,10,70.74%,19.59%,6.03%,9.45%,7.35%,5.30,17.50%,3.60%,23.98%,6.34%,14.69%
AMKR,21.825,5325996445,"Amkor Technology, Inc.",8,44.86%,-3.26%,10.24%,3.64%,6.53%,3.04,5.40%,7.58%,7.12%,11.14%,7.18%
BE,23.495,5501824320,Bloom Energy Corporation,19,0.04%,-12.56%,13.24%,12.70%,18.53%,0.40,-5.30%,-15.18%,-3.24%,-16.10%,-5.47%
THO,100.85,5362427048,"THOR Industries, Inc.",6,11.08%,-7.88%,3.22%,-11.00%,7.43%,3.77,3.00%,7.58%,4.80%,11.90%,3.38%
IDCC,208.74,5332512080,"InterDigital, Inc.",3,-42.71%,58.03%,22.19%,26.86%,3.90%,6.28,20.50%,8.84%,27.62%,12.75%,50.60%
INGM,22.82,5330540666,Ingram Micro Holding Corporation,13,21.76%,,,,3.61%,,,,,,
FFIN,37.48,5447729200,"First Financial Bankshares, Inc.",4,7.51%,4.11%,5.74%,-0.65%,4.62%,,1.60%,1.80%,11.87%,10.39%,49.36%
CSWI,317.65,5443766316,"CSW Industrials, Inc.",4,20.86%,10.41%,17.78%,13.55%,8.14%,13.57,11.10%,9.02%,13.22%,12.68%,21.03%
MTH,73.43,5442135432,Meritage Homes Corporation,10,-6.67%,-0.66%,12.61%,8.35%,7.79%,,12.10%,13.10%,12.27%,14.13%,15.49%
NSIT,166.65,5320435869,"Insight Enterprises, Inc.",4,27.39%,-6.11%,4.30%,-1.09%,5.81%,2.43,4.40%,4.84%,12.03%,11.82%,5.14%
BBU,24.35,1784991654,Brookfield Business Partners L.P.,4,34.46%,-17.24%,2.14%,2.59%,,,0.70%,,33.83%,1.48%,7.44%
HXL,65.02,5370100604,Hexcel Corporation,13,13.41%,6.37%,-4.18%,12.83%,9.80%,4.96,4.70%,2.88%,7.12%,4.70%,9.78%
NOVT,146.68,5263548089,Novanta Inc.,1,15.19%,3.86%,8.19%,12.08%,9.43%,6.05,4.40%,5.42%,6.85%,7.47%,11.44%
LEA,96.83,5212689203,Lear Corporation,11,31.30%,1.90%,3.29%,6.09%,2.45%,2.79,3.70%,3.26%,8.90%,8.01%,3.82%
MAC,20.53,5060009720,The Macerich Company,12,-9.75%,1.10%,-1.08%,2.81%,2.59%,,1.00%,-1.10%,6.43%,1.40%,49.74%
LANC,190.07,5257153240,Lancaster Colony Corporation,5,10.05%,1.77%,7.34%,6.72%,3.23%,16.32,13.00%,11.76%,14.79%,14.24%,10.23%
CRK,17.93,5390754145,"Comstock Resources, Inc.",11,-22.51%,-37.52%,15.44%,-4.07%,37.01%,1.20,-1.00%,3.94%,-2.18%,15.95%,-8.93%
LOPE,182.17,5304827058,"Grand Canyon Education, Inc.",3,-1.28%,8.22%,6.52%,4.86%,6.18%,19.61,22.80%,18.20%,24.50%,19.07%,26.82%
FLG,12.585,5363285800,"Flagstar Financial, Inc.",4,-0.60%,-74.45%,4.41%,-0.76%,22.07%,,-3.20%,0.68%,-13.69%,1.71%,-305.56%
TEO,11.21,5594808389,Telecom Argentina S.A.,1,-45.44%,-9.32%,253.07%,380.78%,16.92%,,-4.70%,-4.36%,-2.85%,-8.64%,-4.65%
SOBO,24.895,5220395560,South Bow Corporation,,,,,,,,,,,,
REYN,24.76,5184918570,Reynolds Consumer Products Inc.,8,21.74%,-1.62%,4.03%,1.29%,2.06%,2.61,7.20%,6.66%,10.93%,9.95%,14.86%
SOUN,14.0398,5432281733,"SoundHound AI, Inc.",6,-5.93%,76.05%,,61.27%,97.20%,13.82,-36.90%,,-25.78%,,-130.18%
BCPC,159.51,5149219680,Balchem Corporation,1,18.99%,1.74%,8.02%,7.12%,6.61%,9.34,7.60%,7.30%,9.60%,8.88%,18.51%
TSEM,46.395,5049235836,Tower Semiconductor Ltd.,3,29.28%,0.94%,3.08%,-1.62%,9.22%,,6.90%,9.64%,6.46%,10.21%,13.32%
CROX,88.75,5184201690,"Crocs, Inc.",15,58.91%,3.17%,28.04%,23.95%,2.50%,3.65,17.70%,25.66%,27.06%,39.11%,25.33%
FCFS,115.535,5077206201,"FirstCash Holdings, Inc.",4,17.32%,7.51%,12.69%,25.88%,5.44%,3.07,5.90%,5.42%,8.26%,6.98%,13.24%
GXO,43.08,5124028455,"GXO Logistics, Inc.",13,47.27%,14.44%,12.75%,14.07%,9.62%,1.35,1.00%,,2.24%,2.40%,1.85%
ASAN,22.48,5114250595,"Asana, Inc.",19,-19.44%,11.89%,,28.27%,11.02%,2.14,-27.20%,-39.54%,-53.34%,-69.55%,-38.36%
PECO,37.21,4541104000,"Phillips Edison & Company, Inc.",7,3.02%,8.40%,4.27%,7.47%,6.89%,,1.30%,0.78%,3.89%,3.22%,26.07%
UBSI,38.07,5174869400,"United Bankshares, Inc.",3,11.34%,-2.00%,7.47%,-1.85%,6.56%,,1.20%,1.26%,6.20%,5.48%,44.29%
KRG,22.925,5206084200,Kite Realty Group Trust,8,24.75%,0.00%,20.41%,43.72%,2.86%,,-0.10%,,,1.56%,11.77%
NEU,537.365,5146955264,NewMarket Corporation,,,1.37%,4.81%,6.35%,,4.11,14.70%,12.96%,17.26%,16.75%,20.13%
LB,69.95,5621940184,LandBridge Company LLC,8,-20.47%,,,,61.11%,,,,27.56%,,
VRNA,62.51,4855043257,Verona Pharma plc,7,-7.97%,1127.95%,,-48.00%,571.44%,9.53,-43.50%,-35.18%,-43.79%,-51.91%,-2762.84%
SAIC,104.475,5137445650,Science Applications International Corporation,8,36.00%,-3.87%,4.11%,0.22%,2.43%,2.93,5.70%,5.34%,10.45%,9.51%,6.83%
CUZ,30.435,5152191800,Cousins Properties Incorporated,8,8.66%,6.71%,5.44%,4.30%,6.98%,,0.60%,2.24%,2.16%,2.45%,20.05%
AMTM,20.96,5055820900,"Amentum Holdings, Inc.",3,35.36%,22.69%,,,4.39%,1.39,-0.30%,,,,2.62%
HWC,59.14,5186854281,Hancock Whitney Corporation,9,4.46%,-5.20%,3.16%,0.21%,5.93%,,1.10%,0.98%,6.72%,5.54%,36.46%
URBN,55.175,5120917665,"Urban Outfitters, Inc.",11,-2.98%,6.91%,6.49%,7.85%,6.37%,3.85,7.70%,,8.84%,6.09%,7.44%
NE.WSA,10.95,,Noble Corporation plc,,,,,,,,,,,,
MOD,96.75,5012930900,Modine Manufacturing Company,4,51.74%,4.85%,4.28%,8.46%,9.07%,5.84,8.60%,2.24%,14.83%,10.12%,10.07%
PFSI,98.96,5260075436,"PennyMac Financial Services, Inc.",5,25.54%,7.64%,3.71%,-24.96%,15.07%,,0.80%,3.88%,0.80%,3.90%,14.64%
QLYS,138.66,5024593728,"Qualys, Inc.",17,5.67%,9.66%,13.77%,14.39%,7.19%,7.86,19.70%,13.54%,30.16%,22.82%,30.23%
PHI,22.93,4917434560,PLDT Inc.,,,3.23%,13.66%,12.42%,4.34%,0.70,4.30%,3.86%,7.34%,6.09%,18.37%
ACT,33,5189772310,"Enact Holdings, Inc.",4,10.79%,5.45%,,1.90%,6.74%,,10.70%,,12.66%,12.84%,77.97%
SIGI,83.35,5113383340,"Selective Insurance Group, Inc.",9,18.57%,15.77%,11.30%,12.55%,7.27%,,1.80%,2.98%,7.05%,10.16%,6.68%
VVV,39.83,5096750100,Valvoline Inc.,9,13.09%,11.85%,-7.42%,35.21%,12.21%,2.82,10.90%,17.48%,15.81%,12.09%,19.51%
AL,45.44,5101066600,Air Lease Corporation,5,25.67%,6.51%,7.37%,11.39%,12.51%,,1.60%,1.58%,4.25%,3.70%,53.27%
AMG,167.37,5228035547,"Affiliated Managers Group, Inc.",5,22.78%,-3.61%,-2.13%,-3.90%,5.16%,,6.10%,6.10%,8.46%,10.33%,32.15%
WK,91.17,5046105900,Workiva Inc.,7,34.10%,16.18%,20.12%,19.22%,16.10%,2.36,-4.10%,-9.44%,-9.88%,-13.28%,-10.30%
MSGS,209.09,4994391863,Madison Square Garden Sports Corp.,1,14.66%,21.45%,36.95%,18.73%,8.47%,2.45,4.10%,1.04%,9.24%,0.53%,12.83%
IEP,9.94,4929149340,Icahn Enterprises L.P.,,,-10.63%,2.02%,-4.86%,-4.46%,,-2.50%,-3.38%,-0.93%,-3.65%,-1.08%
CELH,21.3,5048465880,"Celsius Holdings, Inc.",18,127.96%,19.36%,83.60%,77.37%,15.38%,8.89,10.30%,2.60%,42.56%,-60.13%,17.01%
COTY,5.74,5341173720,Coty Inc.,15,65.36%,1.35%,4.70%,6.51%,4.35%,0.38,,-0.54%,1.74%,-0.46%,10.16%
BOX,34.82,4977906560,"Box, Inc.",10,-0.79%,4.09%,9.68%,8.52%,6.45%,2.38,9.60%,-2.98%,50.62%,75.80%,7.72%
IBP,178.68,5165971869,"Installed Building Products, Inc.",11,38.21%,6.10%,14.75%,15.77%,3.79%,5.28,12.60%,10.02%,16.64%,13.57%,13.12%
RELY,25.14,4995102455,"Remitly Global, Inc.",8,-6.43%,35.18%,,42.89%,24.14%,9.77,-6.60%,,-10.29%,2.28%,-5.64%
AVAV,177.65,4968910170,"AeroVironment, Inc.",6,26.82%,16.51%,17.96%,20.26%,22.42%,20.30,4.80%,-0.66%,5.46%,-1.07%,6.61%
CWEN.A,24.6,5160577024,"Clearway Energy, Inc.",7,25.45%,1.98%,4.29%,3.05%,7.23%,0.56,0.60%,1.16%,1.84%,2.26%,14.90%
ELPC,6.14,502311689,Companhia Paranaense de Energia - COPEL,,,4.60%,,40.31%,9.07%,1.12,4.30%,6.26%,7.49%,9.32%,13.32%
ELP,6.94,4852873072,Companhia Paranaense de Energia - COPEL,,,4.60%,,40.31%,9.07%,1.60,4.30%,6.26%,7.49%,9.32%,13.31%
ZETA,20.915,4896176729,Zeta Global Holdings Corp.,15,69.60%,29.97%,,27.20%,22.74%,7.00,-18.80%,,-15.90%,67.89%,-11.84%
SEE,34.085,4892337360,Sealed Air Corporation,13,17.68%,-2.17%,2.58%,0.34%,0.59%,1.73,5.50%,6.86%,11.11%,13.51%,13.81%
CYTK,41.745,4904661840,"Cytokinetics, Incorporated",16,98.57%,-58.81%,-36.44%,-46.94%,754.18%,-0.94,-50.20%,-45.44%,-67.63%,-67.46%,-16297.79%
SNDR,28.075,4980514753,"Schneider National, Inc.",15,8.75%,-6.43%,1.62%,0.15%,7.12%,3.70,2.40%,7.28%,3.85%,10.37%,2.89%
ACA,100.535,4885728172,"Arcosa, Inc.",4,4.90%,11.68%,8.35%,8.00%,13.86%,2.80,3.30%,4.70%,4.94%,6.21%,8.86%
NE,30.52,5087348760,Noble Corporation plc,7,41.47%,7.97%,,,17.91%,1.65,8.20%,,8.66%,,21.30%
SFBS,89.51,4898805520,"ServisFirst Bancshares, Inc.",1,7.26%,0.11%,9.50%,4.96%,10.90%,,1.30%,1.56%,6.43%,8.55%,56.12%
VRNS,43.33,4819953750,"Varonis Systems, Inc.",17,37.04%,10.38%,16.73%,12.19%,14.99%,1.99,-7.20%,-12.02%,-9.81%,-14.41%,-21.35%
IONS,30.85,4986387260,"Ionis Pharmaceuticals, Inc.",18,100.71%,30.57%,-0.44%,6.72%,10.08%,1.18,-12.50%,-6.06%,-17.56%,-7.71%,-46.12%
BIPC,40.9,4839530545,Brookfield Infrastructure Corporation,,,75.12%,,31.40%,,,-2.90%,0.64%,,-70.87%,61.06%
VIST,50.7,4831496588,"Vista Energy, S.A.B. de C.V.",5,21.01%,25.57%,29.14%,41.61%,29.69%,2.78,17.10%,4.76%,21.58%,9.51%,44.20%
PAGP,20.745,4132963380,"Plains GP Holdings, L.P.",10,-1.78%,2.87%,8.63%,12.85%,-2.37%,,0.60%,0.08%,6.83%,1.29%,3.00%
NSA,37.565,2889662760,National Storage Affiliates Trust,9,14.54%,-6.55%,16.13%,14.78%,1.02%,,2.60%,1.34%,6.95%,5.01%,39.02%
SLG,63.75,5013930351,SL Green Realty Corp.,15,11.83%,-8.17%,-5.59%,1.92%,1.96%,,-1.60%,0.44%,,2.09%,9.93%
WFRD,66.055,4901834256,Weatherford International plc,9,86.84%,7.36%,,14.79%,4.38%,2.33,9.90%,-4.72%,22.24%,2.80%,17.01%
SANM,88.56,4832778688,Sanmina Corporation,2,-9.23%,-8.92%,-0.48%,4.54%,6.94%,,4.90%,5.10%,9.23%,10.55%,4.33%
ESGR,328.025,4995258240,Enstar Group Limited,,,22.99%,-5.27%,-5.63%,,,4.90%,3.26%,15.87%,9.45%,69.45%
SLAB,147.97,4794002290,Silicon Laboratories Inc.,10,-9.97%,-25.29%,4.29%,-6.76%,21.02%,21.87,-15.10%,13.76%,-15.32%,-4.04%,-28.32%
LAZ,53.06,4565680227,"Lazard, Inc.",7,4.42%,25.56%,3.56%,-0.41%,11.50%,,5.50%,4.90%,9.17%,10.05%,11.55%
PIPR,297.49,5404790205,Piper Sandler Companies,3,10.92%,19.45%,14.46%,-5.41%,13.84%,,8.30%,6.62%,14.50%,12.50%,16.42%
AROC,27.335,4885045060,"Archrock, Inc.",6,-8.12%,14.86%,2.74%,11.56%,19.49%,0.83,4.90%,1.56%,6.52%,5.41%,28.63%
CTRE,25.48,4823490000,"CareTrust REIT, Inc.",6,20.37%,28.23%,11.02%,12.95%,31.18%,,3.90%,3.02%,6.24%,6.84%,65.34%
CIVI,49.44,4978197278,"Civitas Resources, Inc.",10,48.34%,59.18%,75.85%,118.56%,-0.90%,1.11,6.70%,8.84%,10.23%,9.18%,29.76%
LUMN,4.695,4901532300,"Lumen Technologies, Inc.",8,3.82%,-10.40%,-8.79%,-12.67%,-2.64%,-0.33,-6.40%,-7.34%,-6.95%,-8.28%,-10.02%
KTOS,31.51,4866526290,"Kratos Defense & Security Solutions, Inc.",11,-9.87%,11.30%,10.09%,11.81%,12.20%,5.65,0.80%,0.72%,1.33%,6.60%,3.35%
FIVE,86.48,4738526944,"Five Below, Inc.",21,45.79%,14.32%,16.75%,12.15%,10.33%,2.88,6.70%,8.56%,7.18%,9.21%,9.04%
ACHR,9.3576,3972004173,Archer Aviation Inc.,8,17.99%,,,,2607.25%,,-81.40%,,-90.22%,-63.32%,
TENB,39.46,4824621600,"Tenable Holdings, Inc.",16,25.46%,13.97%,21.40%,19.82%,9.88%,2.26,-3.70%,-8.68%,-4.21%,-20.68%,-3.89%
DNB,10.665,4839114000,"Dun & Bradstreet Holdings, Inc.",6,22.54%,4.46%,,5.15%,4.56%,0.67,-0.40%,,,0.56%,7.55%
MATX,141.775,4718158765,"Matson, Inc.",4,2.28%,6.86%,8.31%,-0.38%,-2.06%,3.38,9.50%,14.14%,11.65%,18.39%,14.43%
PAM,79.31,4983001184,Pampa Energía S.A.,4,-14.98%,-5.30%,,180.54%,40.02%,1755.78,6.40%,7.16%,5.77%,9.08%,0.02%
NARI,79.925,4678060368,"Inari Medical, Inc.",12,-13.41%,22.41%,,33.33%,18.00%,11.22,-11.60%,0.36%,-9.39%,0.74%,-7.64%
RDN,31.8,4745750045,Radian Group Inc.,5,14.48%,6.01%,-2.43%,-1.52%,3.05%,,7.50%,8.30%,10.24%,11.95%,66.75%
WHD,58.85,3975375768,"Cactus, Inc.",6,-4.07%,12.15%,12.52%,44.32%,3.05%,7.06,11.70%,8.36%,22.46%,21.98%,27.89%
BWIN,39.79,2734525524,"The Baldwin Insurance Group, Inc.",6,12.17%,13.89%,61.55%,41.16%,13.11%,1.04,-1.10%,-2.08%,,1.35%,4.44%
RUSHB,56.69,4674151936,"Rush Enterprises, Inc.",,,,,,-1.13%,,,,,,
RUSHA,59.09,4656629809,"Rush Enterprises, Inc.",2,9.05%,0.59%,5.34%,15.47%,-1.13%,3.80,6.80%,7.02%,8.98%,8.40%,6.08%
WTM,1837.67,4823396604,"White Mountains Insurance Group, Ltd.",,,40.22%,29.32%,58.00%,,,6.70%,8.10%,17.80%,6.68%,34.72%
CBT,85.81,4597712093,Cabot Corporation,4,18.81%,1.71%,4.24%,3.20%,3.75%,3.88,11.60%,5.84%,19.30%,13.48%,15.86%
NXST,149.96,4669106169,"Nexstar Media Group, Inc.",6,38.23%,2.09%,13.79%,3.00%,-7.20%,1.58,5.00%,4.96%,8.89%,7.71%,20.70%
IRT,20.065,4540206490,"Independence Realty Trust, Inc.",9,0.22%,-1.62%,26.23%,41.63%,4.98%,,,1.26%,,1.96%,19.86%
SON,47.04,4592653704,Sonoco Products Company,6,27.87%,-3.65%,3.93%,5.94%,22.34%,2.06,3.80%,4.24%,5.24%,9.85%,7.86%
AGO,90.84,4633764508,Assured Guaranty Ltd.,3,13.73%,-22.05%,3.46%,2.66%,-1.49%,,6.00%,2.70%,10.74%,6.67%,67.21%
EXPO,90.83,4583019060,"Exponent, Inc.",1,31.96%,0.63%,6.41%,6.10%,7.46%,11.22,15.60%,16.30%,16.40%,22.07%,20.32%
ABCB,66.94,4629668258,Ameris Bancorp,7,4.61%,11.72%,11.55%,-1.32%,8.34%,,1.30%,1.30%,7.94%,7.06%,42.12%
ITGR,137.17,4652275200,Integer Holdings Corporation,9,7.67%,9.53%,6.54%,12.94%,7.31%,3.11,3.70%,3.36%,5.89%,5.50%,11.67%
TIGO,27.135,4667243520,Millicom International Cellular S.A.,5,24.60%,5.10%,7.03%,16.21%,0.76%,1.30,1.60%,0.70%,3.52%,1.91%,19.71%
NJR,45.81,4610285330,New Jersey Resources Corporation,4,13.08%,6.51%,-5.37%,-8.57%,4.14%,1.33,4.80%,3.62%,6.68%,5.75%,28.16%
CNR,84.42,4547563475,"Core Natural Resources, Inc.",1,9.66%,23.32%,27.37%,,51.49%,2.48,13.30%,2.80%,6.80%,5.52%,7.31%
TNET,92.545,4532981560,"TriNet Group, Inc.",4,26.28%,1.41%,5.78%,4.39%,5.04%,2.16,7.00%,10.26%,21.11%,26.13%,6.98%
RDNT,61.94,4573369526,"RadNet, Inc.",4,21.89%,12.20%,9.81%,11.19%,8.96%,2.06,-0.10%,0.36%,-14.73%,2.58%,6.18%
FMC,36.69,4544030400,FMC Corporation,13,46.76%,-16.02%,-1.57%,-4.49%,7.13%,1.69,12.10%,7.08%,3.31%,18.73%,6.96%
FELE,100.105,4637042663,"Franklin Electric Co., Inc.",3,-2.77%,-3.51%,8.90%,9.01%,4.16%,8.00,10.40%,9.68%,13.83%,13.20%,12.52%
BCC,119.015,4736055272,Boise Cascade Company,5,16.57%,-0.31%,8.10%,-3.70%,4.64%,5.91,11.40%,16.56%,14.84%,22.52%,7.62%
KBH,63.145,4490317664,KB Home,13,20.69%,8.10%,8.77%,6.58%,1.30%,,9.60%,9.36%,10.51%,10.64%,11.34%
ROAD,81.08,4552043347,"Construction Partners, Inc.",4,12.91%,22.91%,19.85%,25.56%,10.96%,2.76,3.30%,4.28%,3.89%,5.87%,5.45%
BGC,9.435,4451791884,"BGC Group, Inc.",1,27.05%,13.47%,1.16%,2.78%,22.97%,,3.00%,1.26%,5.82%,2.20%,8.90%
ENIC,3.29,4481995680,Enel Chile S.A.,1,18.36%,-11.63%,,,-6.71%,1.38,5.30%,4.26%,7.71%,5.83%,16.02%
MSM,80.85,4538551875,"MSC Industrial Direct Co., Inc.",6,3.73%,-5.24%,2.49%,4.56%,4.42%,5.02,9.50%,11.24%,13.84%,14.74%,9.51%
MGY,22.97,4550477520,Magnolia Oil & Gas Corporation,12,16.93%,4.67%,6.41%,13.29%,1.88%,4.66,13.50%,,17.88%,-15.44%,40.10%
SHAK,106.045,4281530841,Shake Shack Inc.,18,16.83%,16.38%,16.36%,20.36%,16.21%,3.02,0.50%,-0.40%,-2.11%,-1.07%,-0.70%
COLM,78.69,4480617130,Columbia Sportswear Company,3,11.85%,-7.36%,2.09%,4.59%,4.56%,5.78,7.60%,9.60%,8.58%,11.44%,7.40%
BDC,111.565,4543917990,Belden Inc.,5,16.72%,-10.45%,5.24%,4.14%,4.98%,2.93,5.40%,1.04%,8.11%,9.21%,10.28%
TXNM,49.86,4528962084,"TXNM Energy, Inc.",6,4.85%,-9.35%,5.52%,3.79%,4.08%,0.64,1.70%,1.70%,5.78%,5.96%,23.01%
ALGM,24.415,4509221250,"Allegro MicroSystems, Inc.",9,23.52%,-28.33%,,1.30%,17.73%,6.11,-4.40%,10.06%,,10.10%,1.20%
SM,39.19,4612189580,SM Energy Company,10,32.38%,0.42%,9.81%,5.42%,24.05%,2.14,12.10%,3.36%,11.42%,8.34%,38.74%
WRD,16.225,1344306133,WeRide Inc.,2,36.22%,,,,,,,,,,
SKYW,110.37,4444930116,"SkyWest, Inc.",4,-0.83%,16.42%,1.93%,9.71%,5.23%,1.73,3.50%,1.64%,5.59%,3.36%,11.34%
BBAR,19.32,4498064966,Banco BBVA Argentina S.A.,1,39.09%,271.49%,113.75%,157.02%,-17.57%,232.37,1.93%,2.93%,7.39%,14.33%,12.85%
KTB,80.23,4545313845,"Kontoor Brands, Inc.",7,12.60%,-3.42%,-0.34%,1.63%,2.93%,4.93,15.30%,10.36%,24.73%,18.39%,12.93%
CNX,29.575,4451261220,CNX Resources Corporation,12,-2.93%,-48.84%,2.57%,183.31%,5.39%,1.34,6.60%,1.12%,10.44%,2.60%,68.87%
TGTX,30.725,4842738150,"TG Therapeutics, Inc.",6,32.52%,39.53%,344.85%,291.70%,64.84%,5.07,-3.40%,-76.80%,-0.11%,-101.19%,-0.19%
ITRI,97.65,4408635640,"Itron, Inc.",10,27.87%,16.53%,-0.46%,5.97%,0.69%,2.64,7.60%,0.02%,8.26%,2.47%,10.45%
CBZ,87.585,4418040837,"CBIZ, Inc.",1,-1.96%,7.83%,12.22%,16.13%,25.55%,4.05,5.60%,5.20%,7.47%,7.73%,9.14%
POR,41.505,4377478560,Portland General Electric Company,9,14.15%,15.81%,9.74%,12.54%,5.48%,0.96,3.00%,2.30%,5.66%,5.04%,16.07%
STRL,142.45,4449713928,"Sterling Infrastructure, Inc.",2,-19.39%,8.69%,15.23%,16.59%,1.55%,4.02,9.70%,6.60%,17.71%,12.41%,12.27%
FTDR,57.685,4416765475,"Frontdoor, Inc.",6,-19.07%,4.10%,6.31%,4.83%,6.38%,5.97,20.10%,10.72%,28.64%,21.40%,18.18%
IPAR,136.55,4440360350,"Interparfums, Inc.",5,16.40%,9.22%,14.77%,18.51%,3.44%,8.05,10.80%,8.34%,18.39%,14.44%,18.15%
FUN,43.495,4375172770,Six Flags Entertainment Corporation,14,29.34%,33.41%,10.27%,32.82%,4.00%,0.65,0.60%,0.12%,1.46%,6.34%,12.05%
IESC,217.08,4359438140,"IES Holdings, Inc.",,,23.09%,22.01%,20.79%,,8.69,19.70%,10.58%,36.60%,20.82%,10.59%
TGS,26.405,4498176492,Transportadora de Gas del Sur S.A.,1,32.63%,-11.62%,,,,6.08,1.70%,17.04%,4.73%,19.15%,19.69%
AHR,27.75,4225287828,"American Healthcare REIT, Inc.",8,-5.84%,9.47%,,,9.49%,,-0.70%,,,,5.77%
VCTR,67.94,4477590900,"Victory Capital Holdings, Inc.",9,-3.34%,6.14%,12.10%,0.21%,10.74%,,10.50%,10.50%,14.28%,13.41%,46.38%
