Symbol,Company Name,Market Cap,IPO Date,PT Diff. (%),OpInc Growth 5Y,Rev. Growth 5Y,Rev Gr. Next Y,Rev Gr. Next 5Y,OpInc Growth 3Y,Rev. Growth 3Y,Analyst Count,FCF Growth 3Y,FCF Growth 5Y,Debt Growth (5Y),Debt Growth (3Y),Oper. Margin,EBITDA Margin,ROA,ROIC,ROA (5Y),ROIC (5Y),Current Ratio,Quick Ratio,Debt / EBITDA,Z-Score,Tax / Revenue,R&D / Rev,Debt Growth (YoY),FCF Growth,Rev. Growth,Sector,Industry
G,Genpact Limited,8174332350,2007-08-02,-8.67%,9.90%,6.43%,5.98%,,9.76%,6.15%,9,-1.93%,9.84%,3.38%,-2.37%,14.46%,17.13%,13.20%,16.18%,8.54%,11.41%,1.85,1.73,2.30,3.55,-0.22%,,20.95%,10.15%,5.22%,Technology,Information Technology Services
RILY,"B. Riley Financial, Inc.",174197975,2007-08-02,,19.38%,27.06%,,,-37.13%,2.71%,,101.79%,,28.34%,13.21%,13.17%,10.34%,-3.00%,,3.40%,11.18%,,,14.24,,-3.97%,,-12.55%,43.97%,22.80%,Financials,Financial Conglomerates
MASI,Masimo Corporation,9265736236,2007-08-08,-3.21%,-9.66%,15.52%,2.68%,,-19.68%,19.18%,7,0.47%,18.90%,,,6.68%,8.53%,2.60%,6.14%,10.36%,11.99%,2.01,0.83,4.21,5.25,0.04%,8.96%,-19.44%,,-3.48%,Healthcare,Medical Devices
MELI,"MercadoLibre, Inc.",100680980608,2007-08-10,13.61%,,56.06%,25.42%,20.35%,73.58%,44.68%,15,836.90%,85.89%,47.41%,26.47%,10.81%,14.21%,7.20%,15.03%,,4.06%,1.25,1.19,2.34,4.77,2.43%,11.11%,20.69%,43.54%,38.53%,Consumer Discretionary,Internet Retail
NEON,Neonode Inc.,131745765,2007-08-13,101.22%,,-10.41%,-1.91%,,,-14.31%,1,,,-70.08%,-82.51%,-266.43%,-235.58%,-61.00%,-63.17%,-42.42%,-45.56%,11.93,11.24,,31.94,0.70%,89.79%,-96.80%,,-17.30%,Technology,Electronic Components
GFI,Gold Fields Limited,13031549440,2007-08-24,3.04%,118.71%,21.41%,26.28%,,7.87%,8.75%,4,0.86%,,21.07%,-4.28%,32.80%,27.36%,9.00%,14.45%,8.46%,14.40%,1.15,1.03,1.36,3.75,10.33%,1.69%,-23.22%,-13.52%,4.99%,Materials,Gold
EC,Ecopetrol S.A.,16446680000,2007-08-27,5.92%,,,2.44%,,20.83%,31.68%,2,,,,121.83%,25.77%,35.04%,7.20%,14.87%,7.76%,13.07%,1.58,1.77,1.86,1.52,7.11%,,176.72%,,-10.29%,Energy,Oil & Gas Integrated
SHIP,Seanergy Maritime Holdings Corp.,167574926,2007-09-25,54.70%,,,2.96%,,,68.41%,2,113.70%,,,19.97%,19.37%,43.23%,0.50%,4.63%,0.76%,6.02%,0.36,0.30,4.89,-0.38,,,17.60%,,-11.83%,Industrials,Marine Shipping
TDC,Teradata Corporation,2957130000,2007-10-01,17.80%,41.69%,-2.04%,-3.49%,,3.81%,-2.38%,11,-8.84%,26.41%,-1.91%,-0.17%,12.07%,16.35%,4.80%,15.89%,3.36%,7.79%,0.80,0.68,2.02,0.88,4.12%,16.02%,-8.77%,-3.26%,-1.64%,Technology,Software - Infrastructure
MAIN,Main Street Capital Corporation,4895274498,2007-10-05,-12.12%,17.55%,16.97%,5.22%,,27.38%,25.30%,5,,,15.72%,14.28%,88.45%,116.96%,9.80%,8.96%,6.38%,8.73%,,,3.55,,6.23%,,13.67%,,9.27%,Financials,Asset Management
CVI,"CVR Energy, Inc.",1937232370,2007-10-23,27.91%,-24.07%,3.78%,-8.36%,,,7.97%,4,-38.35%,-41.74%,5.86%,-1.79%,2.03%,5.63%,1.70%,6.44%,6.44%,14.66%,1.34,0.77,3.57,2.34,0.09%,,-0.06%,-95.03%,-19.12%,Energy,Oil & Gas Refining & Marketing
ULTA,"Ulta Beauty, Inc.",17679791175,2007-10-25,10.53%,11.94%,9.80%,3.76%,5.93%,17.80%,13.93%,26,-2.38%,7.59%,0.39%,1.35%,13.91%,19.18%,21.30%,27.97%,17.08%,22.93%,1.76,0.39,0.89,6.59,3.38%,,2.58%,1.63%,5.51%,Consumer Discretionary,Specialty Retail
NBY,"NovaBay Pharmaceuticals, Inc.",2905031,2007-10-26,40.96%,,5.62%,26.04%,,,11.44%,1,,,-23.22%,86.04%,-64.64%,-87.36%,-298.60%,-310.15%,-83.36%,-112.54%,1.15,0.75,,-70.82,,0.32%,-57.92%,,-6.65%,Healthcare,Biotechnology
AIFU,AIX Inc.,76560942,2007-10-31,,-15.31%,-3.05%,,,-19.27%,-5.38%,,-41.54%,-33.50%,2.88%,3.64%,6.54%,,3.60%,6.67%,6.28%,9.66%,2.59,2.54,,2.09,1.46%,,-38.65%,-49.62%,5.49%,Financials,Insurance Brokers
SD,"SandRidge Energy, Inc.",432424356,2007-11-06,,,-16.27%,43.19%,,-26.37%,-5.99%,,-3.08%,,,,28.48%,53.07%,8.60%,7.91%,-5.74%,-36.06%,2.14,2.09,,1.37,-1.23%,,,-25.84%,-29.61%,Energy,Oil & Gas Exploration & Production
NFBK,"Northfield Bancorp, Inc. (Staten Island, NY)",576202063,2007-11-08,-9.34%,-6.18%,0.30%,14.71%,,-25.80%,-10.26%,2,-17.76%,-2.35%,7.98%,31.59%,30.40%,37.16%,0.50%,1.49%,0.92%,3.49%,,,23.95,,8.79%,,6.30%,-33.17%,-13.67%,Financials,Banks - Regional
ENSG,"The Ensign Group, Inc.",8377204297,2007-11-09,12.39%,28.39%,18.91%,11.56%,,3.80%,17.03%,6,-7.47%,43.18%,9.01%,16.10%,6.82%,9.75%,5.50%,5.74%,6.22%,7.42%,1.56,1.46,5.04,3.38,1.73%,,6.82%,-17.66%,15.46%,Healthcare,Medical Care Facilities
APEI,"American Public Education, Inc.",363983655,2007-11-09,1.84%,12.01%,16.25%,3.90%,,5.20%,20.47%,4,,-12.26%,80.30%,-6.58%,4.48%,7.11%,1.80%,4.34%,-3.08%,-4.39%,2.65,2.29,4.67,2.17,0.74%,,-1.22%,104.55%,2.18%,Consumer Staples,Education & Training Services
NMM,Navios Maritime Partners L.P.,1447432776,2007-11-13,65.39%,62.60%,43.86%,15.76%,,36.84%,37.22%,1,,,37.74%,10.92%,33.31%,56.79%,7.50%,8.27%,5.84%,5.88%,1.13,0.97,3.09,,,,5.34%,,-1.61%,Industrials,Marine Shipping
MSCI,MSCI Inc.,47815897556,2007-11-15,3.91%,15.53%,13.12%,9.36%,9.09%,13.34%,13.10%,15,17.43%,18.52%,10.95%,2.25%,53.31%,65.99%,22.10%,32.00%,17.12%,25.41%,0.93,0.83,2.49,7.35,9.05%,5.69%,-0.48%,26.65%,16.05%,Financials,Financial Data & Stock Exchanges
RSLS,ReShape Lifesciences Inc.,4233319,2007-11-15,,,12.55%,20.00%,,,-15.71%,1,,,-31.25%,-61.87%,-96.79%,-85.69%,-91.50%,-471.99%,-106.88%,-348.71%,1.33,0.54,,-161.59,0.81%,24.70%,-32.98%,,-16.55%,Healthcare,Medical Devices
CIM,Chimera Investment Corporation,1205850723,2007-11-16,8.99%,14.21%,8.11%,11.33%,,-22.91%,-21.48%,2,-25.81%,,-14.07%,-3.14%,80.96%,77.57%,2.10%,2.73%,0.24%,0.82%,,,30.44,,0.01%,,4.59%,-4.48%,34.43%,Real Estate,REIT - Mortgage
AEHL,Antelope Enterprise Holdings Limited,4080004,2007-11-16,,,-25.10%,,,,-33.73%,,,,,-43.16%,-22.72%,-22.01%,-69.50%,-233.38%,-37.32%,-133.99%,2.59,1.40,,5.20,0.03%,,-90.45%,,15.05%,Industrials,Building Products & Equipment
FNV,Franco-Nevada Corporation,23590017150,2007-12-03,21.51%,,8.34%,22.37%,,,-4.97%,9,108.66%,,,,-43.65%,-16.53%,-9.90%,-7.99%,5.78%,5.65%,23.39,21.89,,45.57,17.13%,,,-8.94%,-11.34%,Materials,Gold
TITN,Titan Machinery Inc.,354317896,2007-12-06,35.92%,36.45%,16.41%,-5.53%,3.01%,32.68%,21.97%,6,,,3.47%,5.07%,4.46%,5.83%,3.00%,10.85%,5.46%,10.11%,1.27,0.12,1.04,2.04,0.83%,,13.34%,,13.99%,Industrials,Industrial Distribution
FOR,Forestar Group Inc.,1514016612,2007-12-12,29.55%,44.52%,28.65%,11.58%,,15.30%,4.42%,3,,,8.93%,0.09%,16.58%,18.09%,7.60%,8.19%,6.36%,7.20%,,,2.59,,4.42%,,1.64%,,5.05%,Real Estate,Real Estate - Development
LRN,"Stride, Inc.",4666141184,2007-12-13,-16.35%,49.10%,15.62%,8.32%,,47.55%,10.47%,5,50.33%,30.20%,61.54%,-1.66%,13.91%,21.14%,12.70%,12.64%,6.58%,7.34%,5.60,5.19,1.26,6.38,3.52%,,2.25%,45.97%,11.55%,Consumer Staples,Education & Training Services
TNK,Teekay Tankers Ltd.,1377836167,2007-12-13,58.19%,40.40%,5.94%,-16.24%,-12.19%,,32.70%,3,,55.43%,-45.31%,-56.18%,34.08%,44.13%,22.50%,22.63%,6.78%,8.91%,6.80,5.83,0.10,6.88,-0.09%,,-76.66%,-17.60%,-16.00%,Energy,Oil & Gas Midstream
OESX,"Orion Energy Systems, Inc.",27641628,2007-12-19,257.14%,,-6.67%,14.83%,15.26%,,-15.40%,1,,,26.35%,568.10%,-7.60%,-5.07%,-13.10%,-24.58%,-0.46%,3.59%,1.49,0.86,,-0.85,0.03%,1.34%,25.10%,,14.40%,Consumer Discretionary,"Furnishings, Fixtures & Appliances"
ORN,"Orion Group Holdings, Inc.",344471897,2007-12-20,51.95%,,5.15%,1.98%,5.40%,-30.81%,8.63%,2,16.66%,22.78%,-3.37%,19.35%,0.17%,4.62%,-3.10%,,-1.70%,0.05%,1.35,0.84,2.22,2.52,0.03%,,-17.39%,,10.58%,Industrials,Engineering & Construction
SATS,EchoStar Corporation,6874855400,2007-12-31,-23.88%,,71.82%,-3.84%,0.68%,,140.72%,5,,,61.40%,155.91%,-2.23%,1.74%,-3.90%,-1.32%,8.32%,11.50%,0.67,0.51,56.62,0.68,-1.41%,-0.08%,1573.82%,,-8.07%,Technology,Communication Equipment
BIP,Brookfield Infrastructure Partners L.P.,23041552539,2008-01-22,7.42%,22.61%,26.41%,-13.71%,6.95%,22.19%,23.87%,2,-8.66%,-8.41%,26.44%,19.63%,23.83%,34.43%,-0.10%,,0.28%,3.50%,0.77,0.72,7.91,,1.67%,,19.95%,-49.27%,23.37%,Utilities,Utilities - Diversified
DALN,DallasNews Corporation,27404749,2008-01-23,,,-7.49%,,,,-6.03%,,,,-5.14%,-3.01%,-6.07%,-3.15%,-9.90%,-44.37%,-4.28%,-20.52%,1.09,0.92,,-7.95,0.30%,,5.06%,,-11.41%,Communication Services,Publishing
SOL,Emeren Group Ltd,102325523,2008-01-29,101.58%,,0.87%,46.42%,,,11.85%,3,,,-15.30%,0.30%,-1.14%,,-0.60%,,-0.38%,0.42%,4.34,2.17,,-0.08,5.07%,,11.22%,,18.71%,Technology,Solar
CLDX,"Celldex Therapeutics, Inc.",1850339738,2008-03-10,136.26%,,17.52%,-41.29%,126.86%,,7.18%,8,,,-3.74%,0.09%,-1871.27%,-1513.23%,-20.50%,-23.66%,-31.30%,-35.87%,24.27,23.58,,27.70,,1473.91%,8.47%,,128.55%,Healthcare,Biotechnology
V,Visa Inc.,619238637301,2008-03-19,1.74%,9.48%,9.35%,10.18%,,14.29%,14.23%,28,8.78%,9.22%,4.49%,-0.22%,65.68%,71.23%,21.40%,32.48%,17.64%,25.49%,1.28,0.95,0.81,8.30,11.62%,,1.82%,-5.09%,10.02%,Financials,Credit Services
IPI,"Intrepid Potash, Inc.",356196192,2008-04-22,-22.48%,,2.53%,3.40%,,,1.15%,2,-17.91%,,-47.40%,36.18%,-21.76%,-6.43%,-5.40%,-8.13%,8.64%,6.28%,4.41,1.73,,2.07,-4.45%,,-38.52%,,-11.60%,Materials,Agricultural Inputs
AWK,"American Water Works Company, Inc.",26918759280,2008-04-23,3.35%,5.74%,4.88%,6.17%,7.25%,7.64%,4.98%,8,,,7.76%,6.35%,43.03%,63.50%,3.20%,5.02%,3.40%,5.16%,0.58,0.44,4.68,1.18,13.67%,,9.48%,,9.24%,Utilities,Utilities - Regulated Water
MHLD,"Maiden Holdings, Ltd.",154940448,2008-05-06,,,-38.72%,,,,-7.72%,,,,-0.01%,-0.08%,-43.26%,-49.72%,-4.40%,-8.32%,0.88%,-2.56%,,,,,1.04%,,0.06%,,20.80%,Financials,Insurance - Reinsurance
ENOV,Enovis Corporation,2707167975,2008-05-08,38.27%,,-7.86%,6.48%,12.02%,,61.71%,10,,,-19.64%,-7.38%,-5.83%,8.96%,-2.30%,-2.47%,-1.02%,-0.02%,2.27,0.82,7.77,1.29,-1.04%,4.28%,213.59%,,20.52%,Industrials,Specialty Industrial Machinery
WES,"Western Midstream Partners, LP",15492394050,2008-05-09,-10.02%,10.48%,5.42%,3.16%,,9.46%,8.01%,10,-1.97%,64.91%,0.51%,3.66%,43.10%,72.90%,12.00%,13.47%,7.34%,10.21%,1.11,1.09,3.08,,0.54%,,9.29%,26.82%,16.75%,Energy,Oil & Gas Midstream
AGNC,AGNC Investment Corp.,8537569600,2008-05-13,6.73%,,,1522.05%,,-6.94%,-6.22%,11,,,-3.80%,12.47%,92.18%,94.40%,1.30%,1.41%,,-0.15%,,,61.76,,,,29.16%,,123.76%,Real Estate,REIT - Mortgage
SGLY,Singularity Future Technology Ltd.,5605584,2008-05-21,,,-40.59%,,,,-17.20%,,,,-10.34%,-49.14%,-168.11%,-125.44%,-22.50%,-30.38%,-57.24%,-91.71%,2.77,2.73,,-6.05,,,-45.40%,,-34.92%,Industrials,Integrated Freight & Logistics
SB,"Safe Bulkers, Inc.",413199900,2008-05-29,55.04%,,,-1.28%,-0.10%,-1.49%,18.97%,1,,,,1.60%,36.62%,54.92%,5.40%,8.01%,6.48%,9.36%,2.63,1.94,3.25,1.46,,,-15.49%,,-18.68%,Industrials,Marine Shipping
ERII,"Energy Recovery, Inc.",879987280,2008-06-02,30.66%,3.01%,9.67%,11.07%,,8.05%,11.76%,3,41.01%,,,,10.90%,19.70%,7.70%,5.87%,9.50%,10.04%,10.06,7.97,,20.31,1.04%,12.75%,,37.12%,19.05%,Industrials,Pollution & Treatment Controls
OCSL,Oaktree Specialty Lending Corporation,1343888202,2008-06-12,5.81%,24.79%,20.91%,-10.01%,,32.54%,22.16%,9,,-38.44%,28.19%,8.90%,79.57%,48.84%,1.80%,9.73%,3.86%,7.45%,,,8.79,,-0.03%,,2.37%,-91.66%,0.63%,Financials,Asset Management
HBCP,"Home Bancorp, Inc.",409699488,2008-10-03,-8.34%,5.49%,5.92%,4.77%,,-9.79%,1.15%,2,-12.17%,3.82%,34.31%,93.98%,34.32%,37.07%,1.10%,5.77%,1.24%,7.97%,,,4.83,,6.56%,,-32.08%,13.49%,-3.91%,Financials,Banks - Regional
FSFG,"First Savings Financial Group, Inc.",206869127,2008-10-07,3.13%,-11.11%,1.01%,2.77%,,-45.46%,-30.94%,1,252.11%,,17.50%,4.75%,13.07%,16.49%,0.40%,1.43%,1.30%,4.10%,,,40.38,,0.19%,,20.25%,51.73%,-15.85%,Financials,Banks - Regional
LOPE,"Grand Canyon Education, Inc.",4794484100,2008-11-20,9.16%,0.74%,6.52%,17.52%,,-0.47%,4.86%,3,-9.00%,-3.52%,-17.77%,-9.35%,26.82%,31.79%,22.80%,24.50%,18.20%,19.07%,3.69,3.57,0.33,18.27,6.19%,,10.83%,20.02%,8.22%,Consumer Staples,Education & Training Services
SWI,SolarWinds Corporation,2283106220,2009-05-20,3.60%,7.96%,-2.84%,3.04%,,,3.03%,6,-11.24%,-12.37%,-8.05%,-14.20%,24.40%,33.89%,1.20%,3.47%,-4.40%,-4.43%,0.71,0.65,4.73,0.65,5.42%,13.45%,-0.93%,9.20%,4.96%,Technology,Software - Infrastructure
OPI,Office Properties Income Trust,95943699,2009-06-03,160.61%,,-3.61%,-8.77%,,,-3.50%,2,,-51.19%,-1.75%,-3.40%,-18.24%,60.29%,-0.60%,-2.62%,-0.24%,2.03%,,,7.44,,0.04%,,-9.51%,,-1.93%,Real Estate,REIT - Office
IVR,Invesco Mortgage Capital Inc.,507098005,2009-06-26,-4.59%,-0.13%,-4.67%,2.72%,,-4.96%,-6.57%,3,3.69%,-12.63%,-23.45%,-13.00%,81.49%,81.49%,1.20%,1.38%,-6.84%,-5.44%,,,62.04,,,,3.97%,-44.46%,664.43%,Real Estate,REIT - Mortgage
PMT,PennyMac Mortgage Investment Trust,1184784040,2009-07-30,9.46%,-4.10%,-5.73%,24.53%,,-2.53%,-18.16%,7,,,5.23%,-0.88%,41.10%,41.10%,1.00%,1.32%,0.54%,0.78%,,,84.14,,-12.70%,,0.07%,,-20.98%,Real Estate,REIT - Mortgage
RCON,"Recon Technology, Ltd.",36814620,2009-07-30,,,10.01%,15.18%,,,-6.68%,,,,25.41%,29.04%,-104.29%,-64.52%,-9.20%,-13.20%,-3.94%,-15.68%,10.67,9.62,,2.87,0.00%,20.80%,27.04%,,2.59%,Energy,Oil & Gas Equipment & Services
AVGO,Broadcom Inc.,757521370200,2009-08-06,17.34%,26.47%,16.03%,17.28%,22.02%,20.55%,20.87%,28,12.49%,14.46%,13.24%,20.03%,27.93%,45.93%,3.40%,5.05%,10.14%,14.60%,1.04,0.76,3.25,4.97,9.90%,18.08%,77.83%,7.39%,32.04%,Technology,Semiconductors
CPIX,Cumberland Pharmaceuticals Inc.,19237951,2009-08-11,,,6.24%,,,,-1.01%,,,,1.44%,9.58%,-29.28%,-10.66%,-13.60%,-23.28%,-4.78%,-13.13%,1.13,0.93,,-0.08,0.16%,13.02%,15.20%,,-6.45%,Healthcare,Drug Manufacturers - Specialty & Generic
STWD,"Starwood Property Trust, Inc.",6867949200,2009-08-12,10.16%,15.75%,10.86%,-6.69%,,27.48%,19.83%,10,81.37%,,10.04%,4.16%,69.94%,93.30%,0.60%,5.14%,0.64%,3.84%,,,9.53,,2.28%,,-8.29%,,1.64%,Real Estate,REIT - Mortgage
DBRG,"DigitalBridge Group, Inc.",2452320565,2009-09-23,36.83%,,-24.24%,-37.42%,,,-37.62%,8,,,-49.11%,-59.85%,136.48%,68.83%,3.80%,12.73%,-4.84%,3.25%,,,2.05,,-0.97%,,-90.63%,,142.78%,Real Estate,Real Estate Services
ARI,"Apollo Commercial Real Estate Finance, Inc.",1287791000,2009-09-24,4.11%,-9.93%,-0.83%,-6.51%,,-7.74%,4.47%,5,-46.82%,-32.59%,14.43%,10.12%,50.08%,-32.52%,-1.40%,,1.90%,2.71%,,,,,0.06%,,4.69%,-85.68%,-8.69%,Real Estate,REIT - Mortgage
SEM,Select Medical Holdings Corporation,2700681620,2009-09-25,81.27%,6.28%,5.45%,4.39%,,-8.77%,4.51%,4,-11.18%,10.95%,0.79%,0.22%,8.71%,11.34%,3.50%,6.74%,3.22%,6.76%,1.13,1.00,5.78,1.60,1.54%,,-9.02%,84.27%,5.80%,Healthcare,Medical Care Facilities
GAME,"GameSquare Holdings, Inc.",28735992,2009-09-25,316.81%,,90.86%,17.85%,,,38.97%,3,,,107.53%,12.12%,-40.13%,-39.39%,-43.00%,-63.42%,,-135.39%,0.72,0.64,,-1.64,-0.04%,5.05%,54.38%,,180.48%,Communication Services,Electronic Gaming & Multimedia
VRSK,"Verisk Analytics, Inc.",41595112160,2009-10-07,-3.66%,10.96%,2.10%,7.52%,9.25%,6.79%,5.12%,11,,,2.04%,-1.50%,42.08%,57.46%,20.30%,25.90%,10.52%,15.38%,0.82,0.68,2.01,9.51,9.45%,,5.27%,,7.16%,Industrials,Consulting Services
BSBR,Banco Santander (Brasil) S.A.,31222065946,2009-10-07,44.23%,,,,,30.17%,24.04%,1,,,,48.61%,9.95%,3.72%,0.90%,9.46%,1.58%,11.37%,,,14.70,,0.62%,,54.04%,501.18%,-0.92%,Financials,Banks - Regional
OMER,Omeros Corporation,688153875,2009-10-08,-20.70%,,,,,,,3,,,18.25%,7.55%,,,-36.20%,-62.08%,-18.98%,-80.57%,2.97,2.33,,,,,-7.05%,,,Healthcare,Biotechnology
MG,"Mistras Group, Inc.",287776512,2009-10-08,19.05%,4.36%,-0.31%,2.75%,,13.61%,3.49%,1,-10.93%,-10.53%,-6.13%,-3.69%,4.07%,8.78%,2.10%,6.01%,-3.56%,-3.12%,1.68,1.43,3.17,2.16,0.33%,0.15%,-2.86%,108.85%,6.85%,Industrials,Security & Protection Services
ADUS,Addus HomeCare Corporation,2226744680,2009-10-28,7.16%,32.34%,13.78%,16.06%,,21.19%,10.70%,9,40.09%,61.34%,-7.32%,-41.94%,9.15%,10.51%,6.80%,7.78%,5.14%,5.99%,2.11,2.02,0.42,8.41,2.19%,,-77.07%,30.45%,10.15%,Healthcare,Medical Care Facilities
TWO,Two Harbors Investment Corp.,1217887500,2009-10-29,20.02%,,,,,,,8,-19.38%,-20.31%,-17.73%,6.22%,133.70%,160.37%,-3.50%,-2.83%,-1.20%,-1.01%,,,,,,,-9.58%,-29.37%,,Real Estate,REIT - Mortgage
H,Hyatt Hotels Corporation,15190584698,2009-11-05,-4.35%,5.99%,6.55%,3.37%,6.63%,,41.32%,19,,33.87%,10.81%,0.48%,4.61%,32.61%,11.20%,3.69%,0.90%,3.87%,0.79,0.72,1.57,2.57,3.61%,,1.66%,16.87%,1.68%,Consumer Discretionary,Lodging
FTNT,"Fortinet, Inc.",72851357650,2009-11-18,-5.63%,38.67%,22.71%,12.60%,13.93%,38.72%,22.24%,33,9.93%,17.56%,,-0.39%,28.27%,34.33%,19.20%,71.28%,13.00%,91.00%,1.34,1.22,0.51,6.91,5.12%,11.88%,0.20%,-19.37%,10.40%,Technology,Software - Infrastructure
PEB,Pebblebrook Hotel Trust,1674505070,2009-12-09,4.29%,-7.45%,-0.26%,3.29%,,,37.31%,6,,-22.30%,2.55%,-2.00%,6.24%,22.23%,-0.50%,,-2.62%,-0.40%,,,7.85,,-1.68%,,-5.92%,-35.69%,3.15%,Real Estate,REIT - Hotel & Motel
KAR,"OPENLANE, Inc.",2153975040,2009-12-11,2.97%,-4.54%,-9.00%,4.64%,,83.94%,30.37%,5,-5.33%,-11.92%,-31.81%,-46.71%,15.16%,21.33%,1.50%,10.01%,,3.53%,1.08,1.03,0.92,1.19,2.30%,,5.00%,7.97%,3.76%,Consumer Discretionary,Auto & Truck Dealerships
CCM,Concord Medical Services Holdings Limited,21404689,2009-12-11,,47.71%,-16.65%,,,,3.24%,,,,27.76%,70.72%,378.17%,,-8.40%,,-6.18%,31.50%,0.47,0.19,,-1.27,-0.46%,,15.38%,,-22.86%,Healthcare,Medical Care Facilities
IRWD,"Ironwood Pharmaceuticals, Inc.",562658448,2010-02-03,240.91%,-0.23%,-2.65%,-1.40%,10.65%,-24.11%,-2.90%,4,-20.74%,,6.73%,8.94%,26.22%,28.22%,-0.60%,-1.11%,-9.00%,-24.75%,3.62,3.33,5.76,-3.37,19.74%,32.16%,-16.98%,-45.39%,-12.48%,Healthcare,Drug Manufacturers - Specialty & Generic
SLRC,SLR Investment Corp.,912152912,2010-02-09,-8.96%,10.71%,8.71%,-4.14%,,24.20%,20.58%,4,,,14.33%,15.60%,72.35%,72.50%,3.90%,8.17%,2.14%,6.28%,,,6.42,,,,-7.54%,48.73%,5.79%,Financials,Asset Management
TRNO,Terreno Realty Corporation,6104822197,2010-02-10,12.83%,20.97%,17.18%,14.92%,,21.17%,20.25%,8,,,8.72%,4.05%,39.74%,70.68%,3.80%,3.37%,4.12%,3.33%,,,2.60,,,,-12.86%,,16.70%,Real Estate,REIT - Industrial
GNRC,Generac Holdings Inc.,11155743750,2010-02-11,-5.57%,5.40%,13.64%,8.28%,8.82%,-11.92%,6.33%,19,8.96%,27.36%,8.73%,13.39%,11.87%,15.90%,5.80%,9.08%,9.46%,12.92%,2.03,0.86,2.55,4.49,2.31%,4.96%,-3.53%,180.68%,2.91%,Industrials,Specialty Industrial Machinery
QNST,"QuinStreet, Inc.",1281671140,2010-02-11,23.66%,,10.39%,9.01%,,,8.69%,6,,,-9.93%,-1.03%,-2.80%,0.45%,-6.10%,-9.50%,-3.50%,-1.79%,1.31,1.26,2.03,5.67,0.02%,4.04%,73.61%,,37.05%,Communication Services,Advertising Agencies
ST,Sensata Technologies Holding plc,4854164530,2010-03-11,27.57%,,3.08%,-4.84%,6.22%,,1.94%,13,-16.43%,-7.63%,-0.36%,-9.03%,-3.13%,4.83%,-1.00%,-2.05%,,5.20%,2.60,1.56,16.48,1.83,-5.21%,4.38%,-15.78%,-22.41%,-1.44%,Technology,Scientific & Technical Instruments
FIBK,"First Interstate BancSystem, Inc.",3695135500,2010-03-24,-3.26%,7.17%,9.19%,4.95%,,8.30%,13.90%,6,1.24%,27.78%,31.83%,34.52%,32.45%,38.20%,0.80%,3.73%,0.94%,4.81%,,,8.08,,7.71%,,-9.34%,-32.74%,-7.83%,Financials,Banks - Regional
CALX,"Calix, Inc.",2130733080,2010-03-24,30.65%,,16.23%,3.13%,,,9.77%,6,-7.80%,,-34.14%,-25.33%,-4.09%,-2.00%,-2.00%,-4.64%,10.22%,11.01%,4.50,2.87,,8.89,-0.74%,19.81%,-43.23%,77.73%,-12.68%,Technology,Software - Infrastructure
MXL,"MaxLinear, Inc.",1283986596,2010-03-24,47.32%,,3.30%,24.12%,,,-22.30%,8,,,-8.48%,-25.74%,-56.87%,-43.31%,-22.70%,-32.03%,-1.16%,0.32%,1.95,1.17,,1.61,-3.73%,60.74%,-5.30%,,-54.14%,Technology,Semiconductors
CRMD,CorMedix Inc.,595850104,2010-03-25,54.16%,,112.20%,277.75%,,,300.94%,5,,,182.58%,-16.40%,-415.59%,-385.86%,-64.70%,-85.98%,-71.36%,-63.83%,3.96,3.43,,11.55,-11.37%,36.73%,-20.85%,,41184.20%,Healthcare,Biotechnology
HTHT,H World Group Limited,10036094042,2010-03-26,45.32%,17.93%,16.38%,8.36%,,,23.31%,4,,32.87%,3.67%,-6.82%,21.19%,28.44%,6.00%,7.69%,0.62%,1.55%,0.88,0.81,5.31,1.57,5.72%,,-6.05%,13.22%,17.24%,Consumer Discretionary,Lodging
STNG,Scorpio Tankers Inc.,2695445819,2010-03-31,51.62%,53.07%,16.18%,-11.85%,-1.10%,,37.35%,5,,125.43%,-22.10%,-33.82%,60.42%,76.24%,17.70%,22.23%,4.48%,9.66%,2.21,1.90,0.86,3.20,,,-48.95%,19.16%,-8.17%,Energy,Oil & Gas Midstream
BUR,Burford Capital Limited,2950800809,2010-04-05,31.58%,,,30.54%,,205.61%,65.34%,2,,,,35.12%,68.43%,,4.30%,9.23%,5.36%,9.28%,,,,,3.53%,,16.33%,,-21.98%,Financials,Asset Management
GBDC,"Golub Capital BDC, Inc.",4141220590,2010-04-15,3.70%,35.68%,33.28%,,,36.68%,33.13%,6,,,16.76%,21.71%,82.25%,67.25%,3.80%,6.89%,3.86%,5.82%,,,9.44,,0.16%,,47.53%,76.03%,20.16%,Financials,Asset Management
CLDT,Chatham Lodging Trust,452920490,2010-04-16,29.24%,-7.47%,-1.01%,3.56%,,58.02%,21.28%,1,,,-5.54%,-6.93%,19.47%,27.82%,-0.80%,,-1.18%,3.28%,,,5.22,,,,-9.91%,-79.62%,1.69%,Real Estate,REIT - Hotel & Motel
SPSC,"SPS Commerce, Inc.",7234489017,2010-04-22,14.57%,19.41%,17.64%,16.27%,,17.78%,18.70%,10,16.02%,18.55%,-7.55%,-13.84%,14.22%,23.01%,8.90%,7.99%,8.50%,9.13%,2.36,1.79,0.09,26.58,3.75%,9.79%,-12.27%,29.39%,19.04%,Technology,Software - Application
